time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,ofsted_inspection,number_of_2_year_olds,percentage_of_2_year_olds,number_of_3_4_year_olds,percentage_of_3_4_year_olds
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Requires improvement,21,2,278,4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Inadequate,13,2,119,2
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,No match,197,19,631,9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Total,574,z,4267,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Matched Ofsted judgement,472,100,3873,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Outstanding,140,30,880,23
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Good,291,62,2596,67
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Requires improvement,11,2,253,7
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Inadequate,30,6,144,4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,No match,102,18,394,9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Total,579,z,8129,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Matched Ofsted judgement,406,100,6858,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Outstanding,105,26,1779,26
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Good,273,67,4579,67
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Requires improvement,27,7,400,6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Inadequate,1,0,100,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,No match,173,30,1271,16
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Total,822,z,7284,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Matched Ofsted judgement,663,100,6430,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Outstanding,110,17,1554,24
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Good,550,83,4528,70
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Requires improvement,1,0,287,4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Inadequate,2,0,61,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,No match,159,19,854,12
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Total,1013,z,9299,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Matched Ofsted judgement,948,100,9109,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Outstanding,220,23,1838,20
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Good,685,72,6696,74
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Requires improvement,38,4,454,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,Inadequate,5,1,121,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,15-hour entitlement,No match,65,6,190,2
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,Total,483,z,2679,z
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,Matched Ofsted judgement,464,100,2631,100
