"Croydon","Croydon (London borough)","E09000008","101.29","101.29","100.00","100.00","98.71","121.12","118.53","117.24","115.52","115.95","128.02","127.59","126.72","125.43","123.71","121.55","121.12","140.09","139.22","137.93","137.07","135.78"
"Ealing","Ealing (London borough)","E09000009","103.04","102.28","100.00","98.10","96.58","116.35","116.35","115.97","115.21","112.93","133.08","133.84","134.60","133.46","132.70","133.46","133.84","149.81","147.53","146.39","144.49","142.59"
"Enfield","Enfield (London borough)","E09000010","98.27","102.31","100.00","98.84","97.11","124.86","126.59","128.90","127.17","124.28","149.71","149.13","150.87","150.29","149.13","149.71","147.98","161.85","161.27","158.38","156.07","157.23"
"Greenwich","Greenwich (London borough)","E09000011","111.50","103.54","100.00","102.65","100.00","122.12","121.24","124.78","123.89","121.24","146.02","144.25","151.33","155.75","155.75","165.49","168.14","207.08","209.73","217.70","218.58","218.58"
"Hackney","Hackney (London borough)","E09000012","106.16","102.05","100.00","102.74","100.68","129.45","126.71","118.49","116.44","114.38","158.22","161.64","162.33","162.33","161.64","165.75","168.49","250.00","262.33","271.92","273.97","271.92"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","99.64","102.17","100.00","102.90","102.54","110.51","107.25","107.25","105.43","129.71","170.29","169.93","162.32","163.41","160.14","157.61","155.43","205.80","214.13","215.58","214.49","208.33"
"Haringey","Haringey (London borough)","E09000014","103.39","101.69","100.00","98.31","95.76","114.41","113.56","111.02","110.17","112.71","142.37","140.68","140.68","141.53","140.68","139.83","139.83","165.25","165.25","170.34","167.80","165.25"
"Harrow","Harrow (London borough)","E09000015","102.75","101.83","100.00","97.25","95.41","108.26","106.42","106.42","103.67","103.67","117.43","118.35","119.27","118.35","114.68","114.68","115.60","130.28","129.36","127.52","126.61","123.85"
"Havering","Havering (London borough)","E09000016","96.09","100.00","100.00","100.78","100.00","121.09","122.66","124.22","123.44","122.66","146.09","143.75","142.19","144.53","142.19","142.19","140.63","159.38","159.38","158.59","157.03","158.59"
"Hillingdon","Hillingdon (London borough)","E09000017","105.29","104.46","100.00","100.00","100.00","111.74","108.26","105.45","116.20","113.39","134.38","130.74","128.93","128.26","130.58","133.72","134.38","134.71","133.88","133.72","132.89","132.73"
"Hounslow","Hounslow (London borough)","E09000018","92.09","97.15","100.00","98.10","94.62","112.66","107.91","105.38","102.85","101.90","112.97","115.51","114.87","115.19","116.46","117.72","119.94","149.37","145.89","144.62","143.99","140.51"
"Islington","Islington (London borough)","E09000019","97.48","104.42","100.00","99.05","96.21","119.24","117.03","111.99","109.78","106.94","148.58","153.00","152.37","153.31","155.52","156.78","157.73","226.18","226.18","226.50","228.39","225.87"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","106.93","104.95","100.00","102.48","102.72","124.50","124.75","123.27","121.04","121.04","165.10","164.11","163.86","162.87","160.64","159.41","159.65","200.74","201.24","197.28","194.06","192.08"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","100.00","100.00","100.00","99.32","97.96","121.77","122.45","121.77","121.77","121.77","138.78","138.10","136.73","136.73","136.05","135.37","134.69","145.58","143.54","142.86","138.78","138.78"
"Lambeth","Lambeth (London borough)","E09000022","107.73","104.97","100.00","97.24","96.69","132.04","128.73","126.52","127.07","127.62","174.03","172.93","172.93","177.90","174.59","175.69","171.27","232.60","233.70","237.57","245.86","242.54"
"Lewisham","Lewisham (London borough)","E09000023","103.09","101.03","100.00","98.97","97.94","123.71","122.68","119.59","117.53","121.65","138.14","137.11","139.18","144.33","143.30","145.36","144.33","186.60","182.47","182.47","182.47","181.44"
"Merton","Merton (London borough)","E09000024","99.28","99.28","100.00","98.56","98.56","122.30","122.30","119.42","120.14","122.30","148.92","147.48","147.48","146.04","144.60","144.60","143.88","154.68","153.24","152.52","153.24","150.36"
"Newham","Newham (London borough)","E09000025","106.80","100.00","100.00","106.12","104.76","134.01","131.29","132.65","129.25","130.61","168.03","209.52","217.69","214.29","212.93","217.01","217.01","257.14","259.86","275.51","279.59","282.99"
"Redbridge","Redbridge (London borough)","E09000026","103.00","101.00","100.00","99.00","97.00","113.00","113.00","112.00","111.00","112.00","141.00","138.00","136.00","138.00","137.00","137.00","136.00","154.00","154.00","154.00","154.00","153.00"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","98.57","98.57","100.00","100.00","100.00","126.43","127.86","127.14","126.43","126.43","154.29","147.86","147.86","147.14","146.43","145.71","142.86","162.86","160.71","159.29","157.14","156.43"
"Southwark","Southwark (London borough)","E09000028","105.71","102.04","100.00","103.27","101.63","152.65","155.92","162.86","157.96","160.00","211.84","215.92","208.16","209.39","214.69","224.49","233.06","308.57","311.43","316.33","314.69","308.98"
"Sutton","Sutton (London borough)","E09000029","100.00","102.13","100.00","101.06","101.06","128.72","129.79","128.72","127.66","126.60","140.43","140.43","141.49","138.30","135.11","132.98","132.98","152.13","151.06","153.19","157.45","157.45"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","89.78","90.86","100.00","106.63","106.09","126.70","124.55","122.58","120.61","121.33","146.42","145.52","145.88","146.24","148.39","155.02","156.81","187.81","186.20","183.15","178.49","179.93"
"Waltham Forest","Waltham Forest (London borough)","E09000031","102.13","102.13","100.00","101.06","100.00","120.21","120.21","121.28","120.21","127.66","160.64","158.51","158.51","157.45","155.32","156.38","157.45","191.49","189.36","190.43","189.36","188.30"
"Wandsworth","Wandsworth (London borough)","E09000032","101.79","101.19","100.00","100.60","102.98","132.74","133.33","133.33","132.14","132.14","160.71","157.74","155.36","154.17","152.38","148.81","148.21","175.60","184.52","184.52","187.50","186.31"
"Westminster","Westminster (London borough)","E09000033","104.30","103.16","100.00","99.83","100.55","111.33","111.42","111.12","110.57","111.29","179.36","179.44","177.00","176.50","173.25","174.47","174.14","217.23","217.99","215.12","211.50","207.54"
