"Ealing","Ealing (London borough)","E09000009","35,106","34,991","31,524","14,243","39,532","41,088","36,723","18,203","41,068","39,225","42,292","17,865","42,431","43,094","38,999","18,862","38,627","37,171","36,930","29,653","35,874","36,460","36,177","32,079","36,881","38,220","36,842","35,706","41,447","40,640","37,404","36,458","39,093","37,731","38,280","33,068","38,069","38,937","40,846","32,412","20,676","21,998","26,743","19,716","25,092","26,299","30,114","37,373","32,316"
"Enfield","Enfield (London borough)","E09000010","26,802","25,399","23,588","16,335","30,498","27,990","24,415","18,710","30,710","28,204","27,822","18,255","31,117","30,502","31,568","15,946","33,995","28,915","26,755","19,572","29,825","29,461","30,420","20,840","30,495","31,296","30,674","24,644","32,886","32,331","28,699","20,391","32,103","35,519","32,505","18,050","30,906","34,260","31,197","18,532","15,629","14,789","22,154","10,030","19,710","24,727","30,981","20,376","26,784"
"Greenwich","Greenwich (London borough)","E09000011","18,989","12,732","12,729","8,512","19,885","13,489","13,808","9,170","21,179","15,937","14,755","11,713","21,882","17,332","16,891","12,782","19,936","18,429","15,029","12,867","21,120","18,699","13,978","15,821","28,896","19,394","18,625","16,155","24,909","22,832","19,073","18,326","24,659","23,932","21,628","19,600","25,776","26,572","22,579","20,759","6,632","12,254","6,879","6,756","11,187","21,994","23,668","20,428","25,070"
"Hackney","Hackney (London borough)","E09000012","21,463","19,290","17,228","6,599","27,416","21,766","19,595","2,961","28,991","26,545","22,082","3,837","28,991","26,545","24,962","4,382","31,610","27,462","23,814","5,377","30,571","28,016","21,352","7,566","31,912","28,272","24,671","12,006","38,630","34,868","26,763","16,177","36,165","34,969","40,288","23,320","44,041","42,002","40,535","24,617","25,356","25,362","19,647","15,613","21,348","17,594","27,774","30,475","30,138"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","48,475","47,386","47,828","12,282","52,467","50,007","50,176","25,037","52,511","47,721","46,873","25,080","56,185","53,571","49,922","25,423","57,570","54,299","53,134","29,523","54,603","53,414","53,673","33,228","53,551","53,023","50,903","24,234","59,467","60,575","55,405","33,380","67,356","61,207","60,540","45,811","76,882","63,545","68,412","40,628","39,574","33,821","30,946","31,873","30,519","38,426","57,884","57,066","64,034"
"Haringey","Haringey (London borough)","E09000014","16,055","19,168","14,035","4,679","18,659","17,682","15,517","9,186","16,667","20,698","16,316","8,824","15,758","20,300","18,035","7,529","17,372","19,116","16,119","10,419","16,929","19,268","16,434","11,117","17,851","20,477","17,718","10,597","16,988","26,204","16,162","9,091","16,100","18,143","18,077","19,445","17,398","17,991","20,813","18,661","7,202","7,797","7,282","5,163","7,538","11,730","16,455","17,296","16,557"
"Harrow","Harrow (London borough)","E09000015","16,775","11,991","11,142","3,870","17,320","11,885","12,530","4,953","17,350","12,386","12,640","6,029","17,853","12,770","13,515","5,694","17,588","12,445","12,230","6,618","16,084","12,725","11,803","7,603","16,763","12,868","13,528","8,509","16,756","12,756","12,640","7,869","17,844","13,194","13,050","8,101","16,496","12,198","12,519","7,886","8,351","3,844","4,567","7,575","10,830","8,476","11,821","5,532","15,255"
"Havering","Havering (London borough)","E09000016","21,861","18,600","17,363","5,638","22,678","19,288","18,936","5,012","22,859","19,526","19,148","8,253","21,893","18,771","19,738","12,900","21,691","16,667","18,655","10,265","23,972","19,883","18,759","10,580","26,560","18,748","18,828","11,163","17,693","23,890","21,150","12,053","20,100","23,678","21,538","14,523","19,483","18,990","20,153","14,362","10,519","6,416","10,761","3,622","15,246","16,019","17,606","14,940","25,242"
"Hillingdon","Hillingdon (London borough)","E09000017","100,265","91,928","93,038","31,844","101,625","94,963","92,904","35,350","99,938","98,775","95,474","34,088","104,536","97,916","96,213","36,008","101,959","90,940","90,382","69,111","102,587","95,639","98,603","82,268","110,901","102,742","102,207","67,370","112,066","98,993","99,985","77,630","110,890","96,180","101,522","68,565","114,833","94,170","100,237","68,281","62,647","77,406","100,469","22,038","73,379","86,809","94,184","78,048","95,426"
"Hounslow","Hounslow (London borough)","E09000018","44,258","42,202","34,449","7,778","48,482","42,197","38,805","12,448","51,495","42,965","38,778","14,088","49,775","42,069","40,678","17,489","47,939","37,621","40,945","25,604","48,516","43,707","42,560","23,739","44,581","45,845","42,587","27,490","53,030","49,049","47,014","33,569","56,194","52,799","47,993","36,867","53,249","53,457","57,206","31,552","37,549","37,784","34,159","18,845","48,374","42,921","51,315","31,356","51,940"
"Islington","Islington (London borough)","E09000019","40,268","43,563","37,979","29,205","50,135","46,176","42,351","43,339","52,999","49,451","43,770","44,461","59,359","46,152","43,226","52,031","55,027","55,200","45,882","39,559","65,095","47,778","42,518","42,158","59,314","59,128","49,993","38,040","76,183","68,459","53,224","50,630","88,699","69,595","68,436","53,948","89,061","68,464","67,379","60,531","56,055","61,537","51,022","52,645","65,996","60,479","65,415","60,092","87,517"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","66,159","65,762","60,690","20,469","69,405","76,588","68,652","27,111","87,311","74,929","74,998","29,103","87,491","83,359","77,257","27,036","87,446","82,081","75,295","30,629","86,878","82,449","73,714","31,621","88,518","81,100","75,231","38,266","102,626","94,338","83,882","41,463","110,081","91,507","90,190","45,390","107,046","99,286","87,353","42,261","24,184","28,730","27,419","9,256","14,029","62,516","73,553","62,995","97,454"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","26,077","20,978","20,661","7,359","25,910","21,203","21,362","8,165","26,062","22,834","21,340","7,821","23,424","25,225","23,533","8,214","25,576","22,015","22,296","10,732","23,654","23,722","22,661","11,888","22,278","25,594","21,970","11,666","26,394","22,991","23,033","12,950","24,243","25,533","24,177","12,520","25,567","24,698","22,633","10,508","6,946","11,547","9,481","2,485","12,454","17,314","21,454","10,407","21,916"
"Lambeth","Lambeth (London borough)","E09000022","31,926","28,135","27,019","7,692","35,345","32,763","30,130","9,769","38,555","33,007","30,717","9,070","39,870","35,108","34,428","12,479","39,199","35,238","33,467","15,187","40,668","34,665","34,182","19,088","35,601","36,674","27,897","14,187","45,499","38,731","35,466","21,072","51,316","40,965","41,942","21,065","52,433","43,725","48,061","22,259","22,181","23,417","28,516","13,753","31,806","31,558","42,389","30,154","46,669"
"Lewisham","Lewisham (London borough)","E09000023","17,386","12,022","11,283","9,750","15,011","13,278","11,160","5,330","17,916","13,302","10,333","4,897","20,217","14,847","12,505","4,150","19,628","14,759","12,704","5,378","20,007","13,086","11,732","8,102","21,112","12,758","13,752","6,999","21,477","14,948","13,386","10,027","21,177","14,161","14,028","10,047","21,707","15,669","14,516","12,964","9,893","8,808","4,782","4,531","12,070","15,539","15,745","10,887","20,777"
"Merton","Merton (London borough)","E09000024","19,233","22,541","25,358","3,669","28,865","21,271","22,312","3,793","30,221","21,993","22,031","3,822","31,538","24,211","24,124","4,806","31,232","22,745","21,909","8,032","29,376","21,518","23,885","8,439","29,824","25,016","23,635","8,454","31,895","24,077","22,658","10,145","31,600","24,443","25,501","8,955","31,202","25,077","24,499","7,520","13,557","11,450","11,466","4,863","15,982","21,533","21,816","13,901","25,329"
"Newham","Newham (London borough)","E09000025","31,710","19,444","18,228","12,977","28,548","27,200","26,169","17,243","48,907","33,107","36,525","11,873","44,079","31,162","29,092","10,492","44,228","33,628","29,339","16,477","42,351","36,094","32,747","16,995","47,350","29,701","31,937","24,956","40,928","40,251","38,795","25,008","46,162","39,288","37,028","27,563","50,202","40,407","45,449","25,261","17,088","25,199","15,007","11,128","23,074","51,449","24,994","22,628","50,949"
"Redbridge","Redbridge (London borough)","E09000026","16,404","12,775","12,989","5,387","17,024","14,675","13,924","4,632","18,029","13,823","14,013","3,957","17,371","15,039","14,040","6,393","17,240","12,832","13,372","8,236","15,995","14,200","13,653","7,275","17,208","15,747","13,870","8,484","17,395","14,789","14,754","7,262","17,506","15,052","13,406","8,526","16,097","14,008","15,289","6,772","6,074","6,208","6,380","628","8,783","12,707","11,739","8,158","13,821"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","24,763","20,058","20,797","8,645","24,663","20,284","17,187","8,487","24,907","22,312","22,037","9,656","26,181","23,717","22,183","8,472","24,482","21,332","22,213","11,989","25,024","22,251","22,533","11,906","26,498","22,382","21,981","13,193","23,410","24,141","22,401","17,431","25,414","24,416","24,173","16,011","26,134","21,892","23,509","14,042","11,693","8,098","9,711","8,227","11,831","19,548","19,494","17,445","25,284"
"Southwark","Southwark (London borough)","E09000028","52,319","46,861","46,200","22,329","57,808","52,259","52,113","25,447","63,562","56,958","50,212","35,002","67,464","58,161","51,689","34,814","70,516","53,427","57,025","39,417","65,594","62,088","69,426","43,571","68,169","64,047","62,100","58,986","85,896","79,146","73,412","63,204","100,056","86,739","80,853","45,216","99,641","89,867","86,715","48,270","55,674","72,877","64,488","50,199","70,037","82,864","78,047","54,498","103,033"
"Sutton","Sutton (London borough)","E09000029","17,163","12,599","13,666","4,219","17,176","13,371","14,271","6,130","15,859","15,883","14,802","5,021","17,843","14,948","13,634","5,133","15,144","15,347","13,831","7,459","16,382","13,880","13,541","7,161","14,810","14,331","14,633","7,824","15,446","14,206","15,405","9,045","17,105","14,494","15,929","8,449","17,853","14,667","15,240","8,863","7,962","7,895","8,809","5,261","9,872","15,972","13,975","10,288","15,143"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","80,076","78,929","77,715","30,617","86,596","98,282","86,765","36,984","100,324","95,073","96,632","31,195","111,631","106,894","91,132","38,267","116,237","86,766","94,181","41,415","116,936","99,870","102,146","47,852","112,267","112,125","110,657","59,797","123,740","118,197","121,592","61,595","120,775","117,823","119,226","64,127","126,716","116,026","102,932","68,503","89,494","82,171","95,556","55,191","95,828","93,076","102,128","78,244","106,015"
"Waltham Forest","Waltham Forest (London borough)","E09000031","16,648","14,483","13,241","5,646","17,140","14,316","13,964","5,700","18,616","13,244","14,166","5,869","16,379","15,783","14,782","8,911","16,551","13,810","13,200","9,230","16,380","13,716","14,787","9,880","19,195","15,364","14,821","10,154","18,378","15,593","15,534","10,793","19,710","14,561","15,341","10,839","19,799","16,357","15,722","11,203","10,167","6,853","7,479","4,539","10,657","16,195","15,632","11,522","18,652"
"Wandsworth","Wandsworth (London borough)","E09000032","28,720","30,922","27,346","7,265","29,207","25,622","25,904","10,614","32,415","28,950","27,651","14,329","34,609","29,715","29,188","12,774","35,587","27,421","28,933","17,326","34,822","27,762","27,844","19,263","34,382","27,985","28,418","13,255","30,012","31,850","27,983","17,684","34,029","31,236","31,884","18,925","48,905","32,020","31,291","18,590","21,581","9,100","14,016","7,612","21,443","25,406","28,681","19,443","39,856"
"Westminster","Westminster (London borough)","E09000033","470,756","342,772","342,584","52,746","554,505","415,118","411,072","67,090","665,917","467,410","450,121","84,458","691,768","471,214","488,214","74,496","675,364","463,371","484,355","132,782","638,740","478,621","473,619","137,612","656,413","493,873","469,108","155,741","773,874","548,257","542,026","170,286","815,690","552,879","575,756","177,184","854,753","585,253","573,107","188,860","398,672","286,221","343,961","134,443","444,864","426,345","431,063","275,985","684,368"
