time_identifier,time_period,geographic_level,country_code,country_name,sen,fsm,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,average_point_score
Academic year,201718,National,E92000001,England,Total,All other pupils,Boys,289292,190244,66,195248,67,33.9
Academic year,201718,National,E92000001,England,No identified SEN,Total,Total,579279,437950,76,446003,77,35.6
Academic year,201718,National,E92000001,England,No identified SEN,Total,Girls,294280,238288,81,241072,82,36.4
Academic year,201718,National,E92000001,England,No identified SEN,Total,Boys,284999,199662,70,204931,72,34.7
Academic year,201718,National,E92000001,England,No identified SEN,FSM,Total,72766,45236,62,46522,64,32.9
Academic year,201718,National,E92000001,England,No identified SEN,FSM,Girls,37843,25957,69,26455,70,33.8
Academic year,201718,National,E92000001,England,No identified SEN,FSM,Boys,34923,19279,55,20067,57,32
Academic year,201718,National,E92000001,England,No identified SEN,All other pupils,Total,506513,392714,78,399481,79,36
Academic year,201718,National,E92000001,England,No identified SEN,All other pupils,Girls,256437,212331,83,214617,84,36.8
Academic year,201718,National,E92000001,England,No identified SEN,All other pupils,Boys,250076,180383,72,184864,74,35.1
Academic year,201718,National,E92000001,England,All SEN,Total,Total,60662,13976,23,14704,24,25.4
Academic year,201718,National,E92000001,England,All SEN,Total,Girls,17911,5119,29,5290,30,26.4
Academic year,201718,National,E92000001,England,All SEN,Total,Boys,42751,8857,21,9414,22,25.1
Academic year,201718,National,E92000001,England,All SEN,FSM,Total,14424,2644,18,2790,19,24.4
Academic year,201718,National,E92000001,England,All SEN,FSM,Girls,4560,1043,23,1088,24,25.3
Academic year,201718,National,E92000001,England,All SEN,FSM,Boys,9864,1601,16,1702,17,24
Academic year,201718,National,E92000001,England,All SEN,All other pupils,Total,46238,11332,25,11914,26,25.8
Academic year,201718,National,E92000001,England,All SEN,All other pupils,Girls,13351,4076,31,4202,31,26.7
Academic year,201718,National,E92000001,England,All SEN,All other pupils,Boys,32887,7256,22,7712,23,25.4
Academic year,201718,National,E92000001,England,SEN support,Total,Total,50957,13547,27,14240,28,26.6
Academic year,201718,National,E92000001,England,SEN support,Total,Girls,15239,4959,33,5125,34,27.5
Academic year,201718,National,E92000001,England,SEN support,Total,Boys,35718,8588,24,9115,26,26.2
Academic year,201718,National,E92000001,England,SEN support,FSM,Total,12401,2579,21,2718,22,25.3
Academic year,201718,National,E92000001,England,SEN support,FSM,Girls,3986,1016,25,1058,27,26.1
Academic year,201718,National,E92000001,England,SEN support,FSM,Boys,8415,1563,19,1660,20,24.9
Academic year,201718,National,E92000001,England,SEN support,All other pupils,Total,38556,10968,28,11522,30,27
Academic year,201718,National,E92000001,England,SEN support,All other pupils,Girls,11253,3943,35,4067,36,28
Academic year,201718,National,E92000001,England,SEN support,All other pupils,Boys,27303,7025,26,7455,27,26.6
Academic year,201718,National,E92000001,England,SEN statement,Total,Total,9705,429,4,464,5,19.6
Academic year,201718,National,E92000001,England,SEN statement,Total,Girls,2672,160,6,165,6,19.8
Academic year,201718,National,E92000001,England,SEN statement,Total,Boys,7033,269,4,299,4,19.5
Academic year,201718,National,E92000001,England,SEN statement,FSM,Total,2023,65,3,72,4,19.1
Academic year,201718,National,E92000001,England,SEN statement,FSM,Girls,574,27,5,30,5,19.4
Academic year,201718,National,E92000001,England,SEN statement,FSM,Boys,1449,38,3,42,3,19
Academic year,201718,National,E92000001,England,SEN statement,All other pupils,Total,7682,364,5,392,5,19.7
Academic year,201718,National,E92000001,England,SEN statement,All other pupils,Girls,2098,133,6,135,6,19.9
Academic year,201718,National,E92000001,England,SEN statement,All other pupils,Boys,5584,231,4,257,5,19.6
Academic year,201718,National,E92000001,England,unclassified,Total,Total,12408,5846,47,5961,48,32.1
Academic year,201718,National,E92000001,England,unclassified,Total,Girls,6079,3241,53,3289,54,33.2
Academic year,201718,National,E92000001,England,unclassified,Total,Boys,6329,2605,41,2672,42,31
Academic year,201718,National,E92000001,England,unclassified,All other pupils,Total,12408,5846,47,5961,48,32.1
Academic year,201718,National,E92000001,England,unclassified,All other pupils,Girls,6079,3241,53,3289,54,33.2
Academic year,201718,National,E92000001,England,unclassified,All other pupils,Boys,6329,2605,41,2672,42,31
