time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score,gld_gap
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Total,665,258,39,266,40,19680,29.6,-31.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Girls,335,156,47,160,48,10365,30.9,-30.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Boys,330,102,31,106,32,9315,28.2,-33.4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Total,2151,732,34,753,35,61222,28.5,-36.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Girls,1081,447,41,459,42,32224,29.8,-36
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Boys,1070,285,27,294,27,28998,27.1,-38
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Total,45361,29780,66,30481,67,1504975,33.2,-4.6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Girls,22065,16047,73,16308,74,759639,34.4,-4.5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Boys,23296,13733,59,14173,61,745336,32,-4.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Total,9814,6761,69,6863,70,336557,34.3,-1.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Girls,4901,3757,77,3787,77,173858,35.5,-1.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Boys,4913,3004,61,3076,63,162699,33.1,-2.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Total,5777,4087,71,4157,72,199735,34.6,0.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Girls,2807,2190,78,2214,79,101083,36,0.5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Boys,2970,1897,64,1943,65,98652,33.2,-0.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Total,10305,7754,75,7872,76,368550,35.8,4.6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Girls,5024,4099,82,4140,82,186096,37,4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Boys,5281,3655,69,3732,71,182454,34.5,5.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Total,15789,11469,73,11670,74,551327,34.9,2.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Girls,7603,6038,79,6103,80,274883,36.2,1.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Boys,8186,5431,66,5567,68,276444,33.8,2.5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Total,20363,15810,78,16148,79,722931,35.5,7.5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Girls,9902,8319,84,8434,85,363533,36.7,6.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Boys,10461,7491,72,7714,74,359398,34.4,8.2
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Total,27141,17476,64,18046,66,886710,32.7,-5.3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Girls,13184,9495,72,9708,74,447919,34,-4.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Boys,13957,7981,57,8338,60,438791,31.4,-5.8
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Total,10212,6873,67,7059,69,338029,33.1,-2.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Girls,4993,3752,75,3822,77,172716,34.6,-1.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Boys,5219,3121,60,3237,62,165313,31.7,-3.5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Total,11469,7886,69,8100,71,385039,33.6,-1.2
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Girls,5569,4279,77,4345,78,194685,35,-0.4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Boys,5900,3607,61,3755,64,190354,32.3,-1.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Total,5270,3559,68,3628,69,177064,33.6,-3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Girls,2554,1924,75,1948,76,89135,34.9,-2.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Boys,2716,1635,60,1680,62,87929,32.4,-3.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Total,21432,14627,68,14951,70,716157,33.4,-2
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Girls,10474,8037,77,8145,78,366699,35,-0.6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Boys,10958,6590,60,6806,62,349458,31.9,-3.4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Total,4434,2910,66,2987,67,146933,33.1,-4.4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Girls,2172,1601,74,1634,75,75013,34.5,-3.2
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Boys,2262,1309,58,1353,60,71920,31.8,-5.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Total,3002,2294,76,2345,78,106674,35.5,6.3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Girls,1413,1148,81,1165,82,51368,36.4,4
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Boys,1589,1146,72,1180,74,55306,34.8,8.7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Total,12048,7588,63,7793,65,390999,32.5,-7.1
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Girls,5889,4118,70,4210,71,198357,33.7,-6.9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Boys,6159,3470,56,3583,58,192642,31.3,-7.3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Total,22487,13069,58,13311,59,741822,33,-12.6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Girls,10973,7034,64,7140,65,373912,34.1,-13.3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Boys,11514,6035,52,6171,54,367910,32,-11.9
201819,Academic year,National,E92000001,England,First language,English,Total,500066,362950,73,367864,74,17528741,35.1,6.6
201819,Academic year,National,E92000001,England,First language,English,Girls,244135,193994,79,195557,80,8838224,36.2,6.2
201819,Academic year,National,E92000001,England,First language,English,Boys,255931,168956,66,172307,67,8690517,34,7
201819,Academic year,National,E92000001,England,First language,Other than English,Total,123805,80627,65,82843,67,4070998,32.9,.
201819,Academic year,National,E92000001,England,First language,Other than English,Girls,60043,43539,73,44358,74,2053379,34.2,.
201819,Academic year,National,E92000001,England,First language,Other than English,Boys,63762,37088,58,38485,60,2017619,31.6,.
201819,Academic year,National,E92000001,England,First language,unclassified,Total,15075,7954,53,8108,54,488733,32.4,.
201819,Academic year,National,E92000001,England,First language,unclassified,Girls,7343,4290,58,4359,59,245463,33.4,.
201819,Academic year,National,E92000001,England,First language,unclassified,Boys,7732,3664,47,3749,48,243270,31.5,.
201819,Academic year,National,E92000001,England,FSM,FSM,Total,89742,49442,55,50732,57,2823632,31.5,17.8
201819,Academic year,National,E92000001,England,FSM,FSM,Girls,43796,27767,63,28257,65,1436958,32.8,16.2
201819,Academic year,National,E92000001,England,FSM,FSM,Boys,45946,21675,47,22475,49,1386674,30.2,19.3
201819,Academic year,National,E92000001,England,FSM,All other pupils,Total,549204,402089,73,408083,74,19264840,35.1,.
201819,Academic year,National,E92000001,England,FSM,All other pupils,Girls,267725,214056,80,216017,81,9700108,36.2,.
201819,Academic year,National,E92000001,England,FSM,All other pupils,Boys,281479,188033,67,192066,68,9564732,34,.
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Total,217750,173096,79,175350,81,7988451,36.7,18.5
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Girls,105754,90550,86,91260,86,4006219,37.9,16.8
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Boys,111996,82546,74,84090,75,3982232,35.6,20.2
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Total,204940,147015,72,149288,73,7085904,34.6,.
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Girls,100062,78767,79,79518,79,3576355,35.7,.
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Boys,104878,68248,65,69770,67,3509549,33.5,.
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Total,216256,131420,61,134177,62,7014117,32.4,.
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Girls,105705,72506,69,73496,70,3554492,33.6,.
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Boys,110551,58914,53,60681,55,3459625,31.3,.
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Total,564913,430878,76,437383,77,20126222,35.6,52.8
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Girls,287233,233226,81,235463,82,10456326,36.4,52.1
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Boys,277680,197652,71,201920,73,9669896,34.8,50.3
201819,Academic year,National,E92000001,England,SEN,All SEN,Total,61237,14428,24,15077,25,1553591,25.4,.
201819,Academic year,National,E92000001,England,SEN,All SEN,Girls,18080,5254,29,5409,30,476303,26.3,.
201819,Academic year,National,E92000001,England,SEN,All SEN,Boys,43157,9174,21,9668,22,1077288,25,.
201819,Academic year,National,E92000001,England,SEN,SEN support,Total,50490,13974,28,14592,29,1344306,26.6,.
201819,Academic year,National,E92000001,England,SEN,SEN support,Girls,15075,5091,34,5238,35,417166,27.7,.
201819,Academic year,National,E92000001,England,SEN,SEN support,Boys,35415,8883,25,9354,26,927140,26.2,.
201819,Academic year,National,E92000001,England,SEN,SEN statement,Total,10747,454,4,485,5,209285,19.5,.
201819,Academic year,National,E92000001,England,SEN,SEN statement,Girls,3005,163,5,171,6,59137,19.7,.
201819,Academic year,National,E92000001,England,SEN,SEN statement,Boys,7742,291,4,314,4,150148,19.4,.
201819,Academic year,National,E92000001,England,SEN,unclassified,Total,12796,6225,49,6355,50,408659,31.9,.
201819,Academic year,National,E92000001,England,SEN,unclassified,Girls,6208,3343,54,3402,55,204437,32.9,.
201819,Academic year,National,E92000001,England,SEN,unclassified,Boys,6588,2882,44,2953,45,204222,31,.
201819,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Total,1423,223,16,230,16,33849,23.8,.
201819,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Girls,402,71,18,73,18,9673,24.1,.
201819,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Boys,1021,152,15,157,15,24176,23.7,.
201819,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Total,4328,569,13,599,14,101288,23.4,.
201819,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Girls,1447,222,15,227,16,34718,24,.
201819,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Boys,2881,347,12,372,13,66570,23.1,.
201819,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Total,1589,9,1,10,1,27824,17.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Girls,485,3,1,3,1,8478,17.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Boys,1104,6,1,7,1,19346,17.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Total,734,7,1,9,1,12966,17.7,.
201819,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Girls,269,0,0,0,0,4675,17.4,.
201819,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Boys,465,7,2,9,2,8291,17.8,.
201819,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Total,6412,1678,26,1757,27,174625,27.2,.
201819,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Girls,1521,521,34,538,35,43287,28.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Boys,4891,1157,24,1219,25,131338,26.9,.
201819,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Total,32071,8865,28,9260,29,844799,26.3,.
201819,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Girls,9560,3192,33,3291,34,261192,27.3,.
201819,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Boys,22511,5673,25,5969,27,583607,25.9,.
201819,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Total,1041,410,39,421,40,30167,29,.
201819,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Girls,470,205,44,210,45,13994,29.8,.
201819,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Boys,571,205,36,211,37,16173,28.3,.
201819,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Total,604,262,43,271,45,17838,29.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Girls,259,123,47,126,49,7822,30.2,.
201819,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Boys,345,139,40,145,42,10016,29,.
201819,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Total,233,68,29,72,31,6135,26.3,.
201819,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Girls,86,28,33,30,35,2335,27.2,.
201819,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Boys,147,40,27,42,29,3800,25.9,.
201819,Academic year,National,E92000001,England,SEN primary need,Physical disability,Total,2189,666,30,684,31,59624,27.2,.
201819,Academic year,National,E92000001,England,SEN primary need,Physical disability,Girls,1010,344,34,351,35,28128,27.8,.
201819,Academic year,National,E92000001,England,SEN primary need,Physical disability,Boys,1179,322,27,333,28,31496,26.7,.
201819,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Total,7364,806,11,864,12,158408,21.5,.
201819,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Girls,1547,227,15,236,15,34250,22.1,.
201819,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Boys,5817,579,10,628,11,124158,21.3,.
201819,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Total,1769,524,30,541,31,47316,26.7,.
201819,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Girls,614,218,36,221,36,16918,27.6,.
201819,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Boys,1155,306,26,320,28,30398,26.3,.
201819,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Total,1480,341,23,359,24,38752,26.2,.
201819,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Girls,410,100,24,103,25,10833,26.4,.
201819,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Boys,1070,241,23,256,24,27919,26.1,.
201718,Academic year,National,E92000001,England, , ,Total,652349,457772,70,466668,72,22550657,34.6,.
201718,Academic year,National,E92000001,England, , ,Girls,318270,246648,77,249651,78,11382095,35.8,.
201718,Academic year,National,E92000001,England, , ,Boys,334079,211124,63,217017,65,11168562,33.4,.
201718,Academic year,National,E92000001,England,Ethnicity: major group,White,Total,473998,337474,71,343014,72,16517182,34.8,0.8
201718,Academic year,National,E92000001,England,Ethnicity: major group,White,Girls,230864,181015,78,182803,79,8309495,36,0.7
201718,Academic year,National,E92000001,England,Ethnicity: major group,White,Boys,243134,156459,64,160211,66,8207687,33.8,0.9
201718,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Total,41621,29878,72,30439,73,1454978,35,1.6
201718,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Girls,20224,16070,79,16247,80,732951,36.2,1.9
201718,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Boys,21397,13808,65,14192,66,722027,33.7,1.4
201718,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Total,69154,47247,68,48888,71,2323717,33.6,-0.8
201718,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Girls,33995,25808,76,26424,78,1187546,34.9,-0.7
201718,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Boys,35159,21439,61,22464,64,1136171,32.3,-1.1
201718,Academic year,National,E92000001,England,Ethnicity: major group,Black,Total,32342,22044,68,22681,70,1088376,33.7,-1.4
201718,Academic year,National,E92000001,England,Ethnicity: major group,Black,Girls,15955,12182,76,12408,78,560486,35.1,-0.7
201718,Academic year,National,E92000001,England,Ethnicity: major group,Black,Boys,16387,9862,60,10273,63,527890,32.2,-2.3
201718,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Total,3278,2493,76,2576,79,117256,35.8,7
201718,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Girls,1595,1327,83,1352,85,59133,37.1,6.3
201718,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Boys,1683,1166,69,1224,73,58123,34.5,7.8
201718,Academic year,National,E92000001,England,Ethnicity: major group,Other,Total,12037,7471,62,7690,64,391148,32.5,-7.7
201718,Academic year,National,E92000001,England,Ethnicity: major group,Other,Girls,5844,4100,70,4185,72,198178,33.9,-6.8
201718,Academic year,National,E92000001,England,Ethnicity: major group,Other,Boys,6193,3371,54,3505,57,192970,31.2,-8.4
201718,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Total,19919,11165,56,11380,57,658000,33,-14.4
201718,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Girls,9793,6146,63,6232,64,334306,34.1,-14.8
201718,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Boys,10126,5019,50,5148,51,323694,32,-14.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Total,424179,306108,72,310788,73,14878033,35.1,1.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Girls,206718,164088,79,165549,80,7486425,36.2,1.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Boys,217461,142020,65,145239,67,7391608,34,1.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Total,1598,1180,74,1193,75,57508,36,3.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Girls,791,630,80,635,80,29105,36.8,1.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Boys,807,550,68,558,69,28403,35.2,4.2
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Total,591,181,31,185,31,17121,29,-40.2
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Girls,279,108,39,110,39,8501,30.5,-39
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Boys,312,73,23,75,24,8620,27.6,-40.9
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Total,2024,674,33,689,34,57405,28.4,-37.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Girls,957,380,40,386,40,28360,29.6,-38.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Boys,1067,294,28,303,28,29045,27.2,-36.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Total,45606,29331,64,30159,66,1507115,33,-5.4
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Girls,22119,15809,71,16123,73,757104,34.2,-5.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Boys,23487,13522,58,14036,60,750011,31.9,-5.2
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Total,9973,6818,68,6947,70,341076,34.2,-1.9
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Girls,4840,3727,77,3768,78,171814,35.5,-0.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Boys,5133,3091,60,3179,62,169262,33,-3
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Total,5683,4077,72,4154,73,197346,34.7,1.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Girls,2751,2182,79,2206,80,99171,36,1.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Boys,2932,1895,65,1948,66,98175,33.5,1.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Total,10288,7639,74,7787,76,366862,35.7,4.2
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Girls,5000,4106,82,4146,83,185037,37,4.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Boys,5288,3533,67,3641,69,181825,34.4,3.9
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Total,15677,11344,72,11551,74,549694,35.1,2.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Girls,7633,6055,79,6127,80,276929,36.3,1.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Boys,8044,5289,66,5424,67,272765,33.9,2.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Total,20190,15520,77,15928,79,715001,35.4,7.4
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Girls,9954,8312,84,8464,85,364577,36.6,6.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Boys,10236,7208,70,7464,73,350424,34.2,8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Total,27076,16980,63,17712,65,879072,32.5,-6.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Girls,13263,9386,71,9671,73,449045,33.9,-5.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Boys,13813,7594,55,8041,58,430027,31.1,-6.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Total,10271,6777,66,7032,68,339092,33,-3.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Girls,5091,3775,74,3867,76,175392,34.5,-2.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Boys,5180,3002,58,3165,61,163700,31.6,-3.9
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Total,11617,7970,69,8216,71,390552,33.6,-0.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Girls,5687,4335,76,4422,78,198532,34.9,-0.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Boys,5930,3635,61,3794,64,192020,32.4,-1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Total,5659,3808,67,3888,69,191376,33.8,-2.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Girls,2798,2109,75,2136,76,98435,35.2,-2.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Boys,2861,1699,59,1752,61,92941,32.5,-3.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,African,Total,22099,15182,69,15663,71,743395,33.6,-0.7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,African,Girls,10941,8419,77,8597,79,385102,35.2,0.1
201718,Academic year,National,E92000001,England,Ethnicity: minor group,African,Boys,11158,6763,61,7066,63,358293,32.1,-1.6
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Total,4584,3054,67,3130,68,153605,33.5,-3.3
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Girls,2216,1654,75,1675,76,76949,34.7,-2.9
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Boys,2368,1400,59,1455,61,76656,32.4,-3.5
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Total,3278,2493,76,2576,79,117256,35.8,7
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Girls,1595,1327,83,1352,85,59133,37.1,6.3
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Boys,1683,1166,69,1224,73,58123,34.5,7.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Total,12037,7471,62,7690,64,391148,32.5,-7.7
