time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,gender,elg_category,number_of_pupils,emerging_number,expected_number,exceeded_number,emerging_percent,expected_percent,exceeded_percent
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Total,Listening and attention,409675,50098,257872,101705,12,63,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Girls,Listening and attention,199805,15969,123786,60050,8,62,30
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Boys,Listening and attention,209870,34129,134086,41655,16,64,20
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Total,Listening and attention,1551,163,931,457,11,60,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Girls,Listening and attention,777,47,468,262,6,60,34
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Boys,Listening and attention,774,116,463,195,15,60,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Total,Listening and attention,665,219,376,70,33,57,11
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Girls,Listening and attention,335,84,215,36,25,64,11
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Boys,Listening and attention,330,135,161,34,41,49,10
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Total,Listening and attention,2151,755,1264,132,35,59,6
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Girls,Listening and attention,1081,295,688,98,27,64,9
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Boys,Listening and attention,1070,460,576,34,43,54,3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Total,Listening and attention,45361,8319,29024,8018,18,64,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Girls,Listening and attention,22065,2799,14476,4790,13,66,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Boys,Listening and attention,23296,5520,14548,3228,24,62,14
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Total,Listening and attention,9814,1368,6419,2027,14,65,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Girls,Listening and attention,4901,451,3189,1261,9,65,26
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Boys,Listening and attention,4913,917,3230,766,19,66,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Total,Listening and attention,5777,848,3613,1316,15,63,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Girls,Listening and attention,2807,247,1743,817,9,62,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Boys,Listening and attention,2970,601,1870,499,20,63,17
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Total,Listening and attention,10305,1198,6189,2918,12,60,28
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Girls,Listening and attention,5024,362,2929,1733,7,58,34
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Boys,Listening and attention,5281,836,3260,1185,16,62,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Total,Listening and attention,15789,2169,9829,3791,14,62,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Girls,Listening and attention,7603,663,4709,2231,9,62,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Boys,Listening and attention,8186,1506,5120,1560,18,63,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Total,Listening and attention,20363,2393,12598,5372,12,62,26
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Girls,Listening and attention,9902,703,6130,3069,7,62,31
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Boys,Listening and attention,10461,1690,6468,2303,16,62,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Total,Listening and attention,27141,5091,17353,4697,19,64,17
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Girls,Listening and attention,13184,1702,8667,2815,13,66,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Boys,Listening and attention,13957,3389,8686,1882,24,62,13
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Total,Listening and attention,10212,1983,6280,1949,19,61,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Girls,Listening and attention,4993,641,3196,1156,13,64,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Boys,Listening and attention,5219,1342,3084,793,26,59,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Total,Listening and attention,11469,2023,7166,2280,18,62,20
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Girls,Listening and attention,5569,650,3574,1345,12,64,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Boys,Listening and attention,5900,1373,3592,935,23,61,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Total,Listening and attention,5270,828,3558,884,16,68,17
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Girls,Listening and attention,2554,259,1748,547,10,68,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Boys,Listening and attention,2716,569,1810,337,21,67,12
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Total,Listening and attention,21432,4018,13241,4173,19,62,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Girls,Listening and attention,10474,1220,6738,2516,12,64,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Boys,Listening and attention,10958,2798,6503,1657,26,59,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Total,Listening and attention,4434,846,2786,802,19,63,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Girls,Listening and attention,2172,262,1440,470,12,66,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Boys,Listening and attention,2262,584,1346,332,26,60,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Total,Listening and attention,3002,400,1791,811,13,60,27
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Girls,Listening and attention,1413,137,837,439,10,59,31
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Boys,Listening and attention,1589,263,954,372,17,60,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Total,Listening and attention,12048,2532,7604,1912,21,63,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Girls,Listening and attention,5889,874,3895,1120,15,66,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Boys,Listening and attention,6159,1658,3709,792,27,60,13
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Total,Listening and attention,22487,4948,13186,4353,22,59,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Girls,Listening and attention,10973,1895,6484,2594,17,59,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Boys,Listening and attention,11514,3053,6702,1759,27,58,15
201819,Academic year,National,E92000001,England,English as another language,English,Total,Listening and attention,500066,62521,314165,123380,13,63,25
201819,Academic year,National,E92000001,England,English as another language,English,Girls,Listening and attention,244135,19801,151328,73006,8,62,30
201819,Academic year,National,E92000001,England,English as another language,English,Boys,Listening and attention,255931,42720,162837,50374,17,64,20
201819,Academic year,National,E92000001,England,English as another language,Other than English,Total,Listening and attention,123805,23909,78451,21445,19,63,17
201819,Academic year,National,E92000001,England,English as another language,Other than English,Girls,Listening and attention,60043,7950,39414,12679,13,66,21
201819,Academic year,National,E92000001,England,English as another language,Other than English,Boys,Listening and attention,63762,15959,39037,8766,25,61,14
201819,Academic year,National,E92000001,England,English as another language,unclassified,Total,Listening and attention,15075,3769,8464,2842,25,56,19
201819,Academic year,National,E92000001,England,English as another language,unclassified,Girls,Listening and attention,7343,1509,4170,1664,21,57,23
201819,Academic year,National,E92000001,England,English as another language,unclassified,Boys,Listening and attention,7732,2260,4294,1178,29,56,15
201819,Academic year,National,E92000001,England,FSM,FSM,Total,Listening and attention,89742,21016,57736,10990,23,64,12
201819,Academic year,National,E92000001,England,FSM,FSM,Girls,Listening and attention,43796,7286,29659,6851,17,68,16
201819,Academic year,National,E92000001,England,FSM,FSM,Boys,Listening and attention,45946,13730,28077,4139,30,61,9
201819,Academic year,National,E92000001,England,FSM,All other pupils,Total,Listening and attention,549204,69183,343344,136677,13,63,25
201819,Academic year,National,E92000001,England,FSM,All other pupils,Girls,Listening and attention,267725,21974,165253,80498,8,62,30
201819,Academic year,National,E92000001,England,FSM,All other pupils,Boys,Listening and attention,281479,47209,178091,56179,17,63,20
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Total,Listening and attention,217750,21216,123817,72717,10,57,33
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Girls,Listening and attention,105754,6307,57347,42100,6,54,40
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Boys,Listening and attention,111996,14909,66470,30617,13,59,27
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Total,Listening and attention,204940,27329,131868,45743,13,64,22
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Girls,Listening and attention,100062,8697,64084,27281,9,64,27
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Boys,Listening and attention,104878,18632,67784,18462,18,65,18
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Total,Listening and attention,216256,41654,145395,29207,19,67,14
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Girls,Listening and attention,105705,14256,73481,17968,13,70,17
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Boys,Listening and attention,110551,27398,71914,11239,25,65,10
201819,Academic year,National,E92000001,England,SEN,All SEN,Total,Listening and attention,61237,34739,23896,2602,57,39,4
201819,Academic year,National,E92000001,England,SEN,All SEN,Girls,Listening and attention,18080,9135,7854,1091,51,43,6
201819,Academic year,National,E92000001,England,SEN,All SEN,Boys,Listening and attention,43157,25604,16042,1511,59,37,4
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Total,Listening and attention,564913,51935,370231,142747,9,66,25
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Girls,Listening and attention,287233,18685,183645,84903,7,64,30
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Boys,Listening and attention,277680,33250,186586,57844,12,67,21
201819,Academic year,National,E92000001,England,SEN,SEN support,Total,Listening and attention,50490,25288,22700,2502,50,45,5
201819,Academic year,National,E92000001,England,SEN,SEN support,Girls,Listening and attention,15075,6549,7482,1044,43,50,7
201819,Academic year,National,E92000001,England,SEN,SEN support,Boys,Listening and attention,35415,18739,15218,1458,53,43,4
201819,Academic year,National,E92000001,England,SEN,SEN statement,Total,Listening and attention,10747,9451,1196,100,88,11,1
201819,Academic year,National,E92000001,England,SEN,SEN statement,Girls,Listening and attention,3005,2586,372,47,86,12,2
201819,Academic year,National,E92000001,England,SEN,SEN statement,Boys,Listening and attention,7742,6865,824,53,89,11,1
201819,Academic year,National,E92000001,England,SEN,unclassified,Total,Listening and attention,12796,3525,6953,2318,28,54,18
201819,Academic year,National,E92000001,England,SEN,unclassified,Girls,Listening and attention,6208,1440,3413,1355,23,55,22
201819,Academic year,National,E92000001,England,SEN,unclassified,Boys,Listening and attention,6588,2085,3540,963,32,54,15
201819,Academic year,National,E92000001,England, , ,Total,Understanding,638946,91522,398764,148660,14,62,23
201819,Academic year,National,E92000001,England, , ,Girls,Understanding,311521,31639,196731,83151,10,63,27
201819,Academic year,National,E92000001,England, , ,Boys,Understanding,327425,59883,202033,65509,18,62,20
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Total,Understanding,459403,59216,287901,112286,13,63,24
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Girls,Understanding,224063,20443,141097,62523,9,63,28
201819,Academic year,National,E92000001,England,Ethnicity: major group,White,Boys,Understanding,235340,38773,146804,49763,16,62,21
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Total,Understanding,41685,5494,25944,10247,13,62,25
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Girls,Understanding,20335,1805,12723,5807,9,63,29
201819,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Boys,Understanding,21350,3689,13221,4440,17,62,21
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Total,Understanding,69185,12558,43214,13413,18,62,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Girls,Understanding,33648,4227,21795,7626,13,65,23
201819,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Boys,Understanding,35537,8331,21419,5787,23,60,16
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Total,Understanding,31136,5877,19400,5859,19,62,19
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Girls,Understanding,15200,1878,9913,3409,12,65,22
201819,Academic year,National,E92000001,England,Ethnicity: major group,Black,Boys,Understanding,15936,3999,9487,2450,25,60,15
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Total,Understanding,3002,467,1842,693,16,61,23
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Girls,Understanding,1413,177,880,356,13,62,25
201819,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Boys,Understanding,1589,290,962,337,18,61,21
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Total,Understanding,12048,2866,7428,1754,24,62,15
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Girls,Understanding,5889,1052,3845,992,18,65,17
201819,Academic year,National,E92000001,England,Ethnicity: major group,Other,Boys,Understanding,6159,1814,3583,762,29,58,12
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Total,Understanding,22487,5044,13035,4408,22,58,20
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Girls,Understanding,10973,2057,6478,2438,19,59,22
201819,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Boys,Understanding,11514,2987,6557,1970,26,57,17
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Total,Understanding,409675,48104,257237,104334,12,63,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Girls,Understanding,199805,16342,125404,58059,8,63,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Boys,Understanding,209870,31762,131833,46275,15,63,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Total,Understanding,1551,156,891,504,10,57,32
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Girls,Understanding,777,46,459,272,6,59,35
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Boys,Understanding,774,110,432,232,14,56,30
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Total,Understanding,665,214,378,73,32,57,11
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Girls,Understanding,335,83,216,36,25,64,11
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Boys,Understanding,330,131,162,37,40,49,11
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Total,Understanding,2151,828,1212,111,38,56,5
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Girls,Understanding,1081,346,660,75,32,61,7
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Boys,Understanding,1070,482,552,36,45,52,3
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Total,Understanding,45361,9914,28183,7264,22,62,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Girls,Understanding,22065,3626,14358,4081,16,65,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Boys,Understanding,23296,6288,13825,3183,27,59,14
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Total,Understanding,9814,1223,6464,2127,12,66,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Girls,Understanding,4901,430,3233,1238,9,66,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Boys,Understanding,4913,793,3231,889,16,66,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Total,Understanding,5777,845,3588,1344,15,62,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Girls,Understanding,2807,268,1742,797,10,62,28
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Boys,Understanding,2970,577,1846,547,19,62,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Total,Understanding,10305,1252,6113,2940,12,59,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Girls,Understanding,5024,403,2961,1660,8,59,33
201819,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Boys,Understanding,5281,849,3152,1280,16,60,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Total,Understanding,15789,2174,9779,3836,14,62,24
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Girls,Understanding,7603,704,4787,2112,9,63,28
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Boys,Understanding,8186,1470,4992,1724,18,61,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Total,Understanding,20363,2642,12578,5143,13,62,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Girls,Understanding,9902,815,6248,2839,8,63,29
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Boys,Understanding,10461,1827,6330,2304,17,61,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Total,Understanding,27141,5497,17325,4319,20,64,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Girls,Understanding,13184,1931,8726,2527,15,66,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Boys,Understanding,13957,3566,8599,1792,26,62,13
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Total,Understanding,10212,2166,6183,1863,21,61,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Girls,Understanding,4993,735,3182,1076,15,64,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Boys,Understanding,5219,1431,3001,787,27,58,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Total,Understanding,11469,2253,7128,2088,20,62,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Girls,Understanding,5569,746,3639,1184,13,65,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Boys,Understanding,5900,1507,3489,904,26,59,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Total,Understanding,5270,799,3510,961,15,67,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Girls,Understanding,2554,254,1746,554,10,68,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Boys,Understanding,2716,545,1764,407,20,65,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Total,Understanding,21432,4196,13136,4100,20,61,19
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Girls,Understanding,10474,1328,6745,2401,13,64,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,African,Boys,Understanding,10958,2868,6391,1699,26,58,16
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Total,Understanding,4434,882,2754,798,20,62,18
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Girls,Understanding,2172,296,1422,454,14,65,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Boys,Understanding,2262,586,1332,344,26,59,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Total,Understanding,3002,467,1842,693,16,61,23
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Girls,Understanding,1413,177,880,356,13,62,25
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Boys,Understanding,1589,290,962,337,18,61,21
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Total,Understanding,12048,2866,7428,1754,24,62,15
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Girls,Understanding,5889,1052,3845,992,18,65,17
201819,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Boys,Understanding,6159,1814,3583,762,29,58,12
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Total,Understanding,22487,5044,13035,4408,22,58,20
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Girls,Understanding,10973,2057,6478,2438,19,59,22
201819,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Boys,Understanding,11514,2987,6557,1970,26,57,17
201819,Academic year,National,E92000001,England,English as another language,English,Total,Understanding,500066,60279,313313,126474,12,63,25
201819,Academic year,National,E92000001,England,English as another language,English,Girls,Understanding,244135,20273,153282,70580,8,63,29
201819,Academic year,National,E92000001,England,English as another language,English,Boys,Understanding,255931,40006,160031,55894,16,63,22
201819,Academic year,National,E92000001,England,English as another language,Other than English,Total,Understanding,123805,27395,77046,19364,22,62,16
201819,Academic year,National,E92000001,England,English as another language,Other than English,Girls,Understanding,60043,9738,39277,11028,16,65,18
201819,Academic year,National,E92000001,England,English as another language,Other than English,Boys,Understanding,63762,17657,37769,8336,28,59,13
201819,Academic year,National,E92000001,England,English as another language,unclassified,Total,Understanding,15075,3848,8405,2822,26,56,19
201819,Academic year,National,E92000001,England,English as another language,unclassified,Girls,Understanding,7343,1628,4172,1543,22,57,21
201819,Academic year,National,E92000001,England,English as another language,unclassified,Boys,Understanding,7732,2220,4233,1279,29,55,17
201819,Academic year,National,E92000001,England,FSM,FSM,Total,Understanding,89742,21028,57711,11003,23,64,12
201819,Academic year,National,E92000001,England,FSM,FSM,Girls,Understanding,43796,7650,29631,6515,17,68,15
201819,Academic year,National,E92000001,England,FSM,FSM,Boys,Understanding,45946,13378,28080,4488,29,61,10
201819,Academic year,National,E92000001,England,FSM,All other pupils,Total,Understanding,549204,70494,341053,137657,13,62,25
201819,Academic year,National,E92000001,England,FSM,All other pupils,Girls,Understanding,267725,23989,167100,76636,9,62,29
201819,Academic year,National,E92000001,England,FSM,All other pupils,Boys,Understanding,281479,46505,173953,61021,17,62,22
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Total,Understanding,217750,21464,122443,73843,10,56,34
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Girls,Understanding,105754,6849,58305,40600,6,55,38
201819,Academic year,National,E92000001,England,Month of birth,Autumn born,Boys,Understanding,111996,14615,64138,33243,13,57,30
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Total,Understanding,204940,27779,131158,46003,14,64,22
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Girls,Understanding,100062,9467,64667,25928,9,65,26
201819,Academic year,National,E92000001,England,Month of birth,Spring born,Boys,Understanding,104878,18312,66491,20075,17,63,19
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Total,Understanding,216256,42279,145163,28814,20,67,13
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Girls,Understanding,105705,15323,73759,16623,14,70,16
201819,Academic year,National,E92000001,England,Month of birth,Summer born,Boys,Understanding,110551,26956,71404,12191,24,65,11
201819,Academic year,National,E92000001,England,SEN,All SEN,Total,Understanding,61237,34817,23685,2735,57,39,4
201819,Academic year,National,E92000001,England,SEN,All SEN,Girls,Understanding,18080,9486,7593,1001,52,42,6
201819,Academic year,National,E92000001,England,SEN,All SEN,Boys,Understanding,43157,25331,16092,1734,59,37,4
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Total,Understanding,564913,53096,368199,143618,9,65,25
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Girls,Understanding,287233,20603,185736,80894,7,65,28
201819,Academic year,National,E92000001,England,SEN,No identified SEN,Boys,Understanding,277680,32493,182463,62724,12,66,23
201819,Academic year,National,E92000001,England,SEN,SEN support,Total,Understanding,50490,25323,22533,2634,50,45,5
201819,Academic year,National,E92000001,England,SEN,SEN support,Girls,Understanding,15075,6858,7254,963,45,48,6
201819,Academic year,National,E92000001,England,SEN,SEN support,Boys,Understanding,35415,18465,15279,1671,52,43,5
201819,Academic year,National,E92000001,England,SEN,SEN statement,Total,Understanding,10747,9494,1152,101,88,11,1
201819,Academic year,National,E92000001,England,SEN,SEN statement,Girls,Understanding,3005,2628,339,38,87,11,1
201819,Academic year,National,E92000001,England,SEN,SEN statement,Boys,Understanding,7742,6866,813,63,89,11,1
201819,Academic year,National,E92000001,England,SEN,unclassified,Total,Understanding,12796,3609,6880,2307,28,54,18
